"state","state1","zip","provider","DOB","uri","planname","quote_P","apply_P","ECD_P","confirm_P","toDays"
"Kentucky","KY","40214","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Louisiana","LA","70816","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Massachusetts","MA","02128","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Maryland","MD","21215","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Maine","ME","04401","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Michigan","MI","48228","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Minnesota","MN","55106","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Missouri","MO","63129","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Mississippi","MS","39503","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Montana","MT","59102","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"North Carolina","NC","28269","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"North Dakota","ND","58103","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Nebraska","NE","68104","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New Hampshire","NH","03103","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New Jersey","NJ","08701","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New Mexico","NM","87121","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Nevada","NV","89110","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New York","NY","11226","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Ohio","OH","43228","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Oklahoma","OK","73160","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Oregon","OR","97229","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Pennsylvania","PA","19120","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Rhode Island","RI","02909","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"South Carolina","SC","29223","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"South Dakota","SD","57106","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Tennessee","TN","37013","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Texas","TX","79936","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Utah","UT","84120","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Virginia","VA","23464","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Vermont","VT","05401","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Washington","WA","98115","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Wisconsin","WI","53215","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"West Virginia","WV","25302","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Wyoming","WY","82001","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
