"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1980/1/1","F","","","","","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1980/1/1","F","","","","","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1980/1/1","F","","","","","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1980/1/1","F","","","","","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Short Term Medical Plus Select A","Short Term Medical Plus Select A 10K/20/12K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1980/1/1","F","","","","","1997/1/1","M","C","2"
