state,state1,zip,provider,DOB,uri,planname,quote_P,apply_P,ECD_P,confirm_P,toDays
Oregon,OR,97229,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Pennsylvania,PA,19120,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Rhode Island,RI,2909,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
South Carolina,SC,29223,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
South Dakota,SD,57106,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Tennessee,TN,37013,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Texas,TX,79936,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Utah,UT,84120,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Virginia,VA,23464,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Vermont,VT,5401,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Washington,WA,98115,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Wisconsin,WI,53215,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
West Virginia,WV,25302,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Wyoming,WY,82001,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
