"state","state1","zip","provider","DOB","uri","planname","quote_P","apply_P","ECD_P","confirm_P","toDays"
"Nevada","NV","89110","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New York","NY","11226","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Ohio","OH","43228","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Oklahoma","OK","73160","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Oregon","OR","97229","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Pennsylvania","PA","19120","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Rhode Island","RI","02909","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"South Carolina","SC","29223","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"South Dakota","SD","57106","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Tennessee","TN","37013","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Texas","TX","79936","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Utah","UT","84120","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Virginia","VA","23464","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Vermont","VT","05401","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Washington","WA","98115","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Wisconsin","WI","53215","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"West Virginia","WV","25302","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Wyoming","WY","82001","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
